komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment,sentimen_NaiveBayes
pria yang tidak pandai merangkai katakata ketemu pria yang sangat pandai merangkai kata2 just info anies itu dosen yang jelas selalu memberikan teori jadi pandai merangkai kata janji manis yang tau hasil kinerjanya coba tanyakan saja sama warga jakarta ingat ya jangan sama angin sedangkan prabowo praktek lapangan langsung secara beliau pernah membela indonesia secara nyata kalo pak ganjar coba tanya w4d4 apapun pilihan kita jangan sampai salah pilih ya guyss,"['pria', 'pandai', 'rangkai', 'katakata', 'ketemu', 'pria', 'pandai', 'rangkai', 'kata2', 'just', 'info', 'anies', 'dosen', 'teori', 'pandai', 'rangkai', 'janji', 'manis', 'tau', 'hasil', 'kerja', 'coba', 'warga', 'jakarta', 'ya', 'angin', 'prabowo', 'praktek', 'lapang', 'langsung', 'beliau', 'bela', 'indonesia', 'nyata', 'kalo', 'ganjar', 'coba', 'w4d4', 'apa', 'pilih', 'salah', 'pilih', 'ya', 'guyss']",-1,negatif,-1,-1,negatif
bapak prabowo orngny tegas sat set anis pintar mengomong tapi enggak mikir taa dulu diusung siapa sekarang malah nglawan yaa,"['prabowo', 'orngny', 'sat', 'set', 'anis', 'pintar', 'omong', 'mikir', 'taa', 'usung', 'nglawan', 'yaa']",-5,negatif,-1,-1,negatif
pintar toeri praktek nya susah biasalah takut tertipu omongan manis lagi tiati maniss diawall ya no 1,"['pintar', 'toeri', 'praktek', 'nya', 'susah', 'biasa', 'takut', 'tipu', 'omong', 'manis', 'tiati', 'maniss', 'diawall', 'ya', 'no', '1']",-5,negatif,-1,-1,negatif
kalo di sekolah branies anak pintar yang sok banget kalo lagi mengomong kayak dia doang yang paling pintar bahkan guru juga mungkin dilawan ajak debatbrbrprabowo anak pintar yang nilainya lumayan bagus padahal jarang belajar karena terlalu santuy dan suka berisik joget di kelasbrbrganjar anak pintar yang suka berorganisasi dan enggak pilih teman bahkan guru pun mungkin diajak ngopi bareng,"['kalo', 'sekolah', 'branies', 'anak', 'pintar', 'sok', 'banget', 'kalo', 'omong', 'kayak', 'doang', 'pintar', 'guru', 'lawan', 'ajak', 'debatbrbrprabowo', 'anak', 'pintar', 'nilai', 'lumayan', 'bagus', 'jarang', 'ajar', 'santuy', 'suka', 'berisik', 'joget', 'kelasbrbrganjar', 'anak', 'pintar', 'suka', 'organ', 'pilih', 'teman', 'guru', 'ajak', 'ngopi', 'bareng']",-2,negatif,-1,-1,negatif
pidato nya pak anis sangat lah bagus jelas dan bijak lebih mengedepankan rakyat lanjutkan pak anis,"['pidato', 'nya', 'anis', 'bagus', 'bijak', 'depan', 'rakyat', 'lanjut', 'anis']",-6,negatif,-1,1,positif
soal ikn asal jangan anisbrsoal ikn prabowo ganjar bersatu,"['ikn', 'anisbrsoal', 'ikn', 'prabowo', 'ganjar', 'satu']",4,positif,1,1,positif
saya sebagai anak muda indonesia selalu mendukung pak anis maju dan semangat terus,"['anak', 'muda', 'indonesia', 'dukung', 'anis', 'maju', 'semangat']",2,positif,1,1,positif
dari awal debat jelas anis lebih baik pak ganjar juga baik tapi anis lebih baik lgi saya dan keluarga saya pilih anis presiden terbaik 2024202,"['debat', 'anis', 'ganjar', 'anis', 'lgi', 'keluarga', 'pilih', 'anis', 'presiden', 'baik', '2024202']",9,positif,1,1,positif
mantap cara debat pak anis pembawaannya tenang tidak emosian seperti lawan debatnya,"['mantap', 'debat', 'anis', 'bawa', 'tenang', 'emosi', 'lawan', 'debat']",9,positif,1,1,positif
bismillah pak anis presiden indonesia,"['bismillah', 'anis', 'presiden', 'indonesia']",7,positif,1,1,positif
kalau lihat pak aniskita seperti sekolah lagidan belajar,"['lihat', 'aniskita', 'sekolah', 'lagidan', 'ajar']",4,positif,1,-1,negatif
siapa yang pilih pak anistelah menyelamat kan indonesia dari ketidak adilan,"['pilih', 'anistelah', 'selamat', 'indonesia', 'tidak', 'adil']",-1,negatif,-1,-1,negatif
luar biasapak anis pantas untuk mmimpin nkri,"['biasapak', 'anis', 'mmimpin', 'nkri']",0,netral,0,1,positif
di youtube pak anis menang,"['youtube', 'anis', 'menang']",-1,negatif,-1,-1,negatif
untuk debat saya pegang anis kalo untuk mencoblos anis sebagai presiden enggak dulu deh,"['debat', 'pegang', 'anis', 'kalo', 'coblos', 'anis', 'presiden', 'deh']",4,positif,1,1,positif
pak anis,['anis'],0,netral,0,1,positif
keren pak anis pintar banget,"['keren', 'anis', 'pintar', 'banget']",1,positif,1,1,positif
busuk banget hatimu anis,"['busuk', 'banget', 'hati', 'anis']",-4,negatif,-1,-1,negatif
anis debe,"['anis', 'debe']",0,netral,0,0,netral
semakin yakin sama pak anis partainya pks juga sangat peduli dan cinta sama rakyatnya sangat berkualitas tambah yakin saya untuk coblos pak anismuhaimin,"['anis', 'partai', 'pks', 'peduli', 'cinta', 'rakyat', 'kualitas', 'coblos', 'anismuhaimin']",9,positif,1,1,positif
wah repot kalau memilih pak anis semuaaku memilih cak imin saja wis,"['repot', 'pilih', 'anis', 'semuaaku', 'pilih', 'cak', 'imin', 'wis']",-9,negatif,-1,-1,negatif
semakin yakin pak anis partainya pks juga sangat peduli sangat sama rakyat tambah yakin,"['anis', 'partai', 'pks', 'peduli', 'rakyat']",3,positif,1,1,positif
2x dukung prabowo tapi kalah terus untuk kali ini saya dukung anis,"['2x', 'dukung', 'prabowo', 'kalah', 'kali', 'dukung', 'anis']",4,positif,1,1,positif
bukan prabowo gibran tapi anis muhaimin adalah masa depan indonesia yang lebih baik,"['prabowo', 'gibran', 'anis', 'muhaimin', 'indonesia']",0,netral,0,1,positif
anis merupakan figur yang cerdas relevan untuk memimpin indonesia yang akan datang dengan visi misi yang jelas dan tepat,"['anis', 'figur', 'cerdas', 'relevan', 'pimpin', 'indonesia', 'visi', 'misi']",5,positif,1,1,positif
semoga pemilu nanti jujur dan pak anis bisa menjadi presiden 2024,"['moga', 'milu', 'jujur', 'anis', 'presiden', '2024']",7,positif,1,1,positif
anis baswedan terbaik,"['anis', 'baswedan', 'baik']",2,positif,1,1,positif
apa saya yang pendidikannya rendah ya kok enggak paham sama perkataannya pak anis,"['didik', 'rendah', 'ya', 'paham', 'kata', 'anis']",-2,negatif,-1,-1,negatif
dalam debat itu pak prabowo gesture dan emosional nya gampang terpancing anis relatif lebih santun dan tidak mudah terpancing indonesia butuh pemimpin yang emosionalnya stabil,"['debat', 'prabowo', 'gesture', 'emosional', 'nya', 'gampang', 'pancing', 'anis', 'relatif', 'santun', 'mudah', 'pancing', 'indonesia', 'butuh', 'pimpin', 'emosional', 'stabil']",7,positif,1,1,positif
harusnya sih berdebat pakai etikabrsmoga pakai anis bisa trplih,"['sih', 'debat', 'pakai', 'etikabrsmoga', 'pakai', 'anis', 'trplih']",3,positif,1,1,positif
0 t kemana ini apa anis,"['0', 't', 'mana', 'anis']",0,netral,0,1,positif
no 2 mantaptegas berpikir untuk bangsabukan kepentingan sesaattapi jangka panjangbrbrbukan yang omong manis belaka,"['no', '2', 'mantaptegas', 'pikir', 'bangsabukan', 'penting', 'sesaattapi', 'jangka', 'panjangbrbrbukan', 'omong', 'manis', 'belaka']",-1,negatif,-1,-1,negatif
benar pengkhianat banget bahaya kalo indonesia dipimpin sama orang yang bermuka 2 kayak anismentri pecatan jokowi,"['khianat', 'banget', 'bahaya', 'kalo', 'indonesia', 'pimpin', 'orang', 'muka', '2', 'kayak', 'anismentri', 'pecat', 'jokowi']",-16,negatif,-1,-1,negatif
amin presiden br0 rakyat pilih anis brklw hasil kpu bukan anis fix ada kecurangan,"['amin', 'presiden', 'br0', 'rakyat', 'pilih', 'anis', 'brklw', 'hasil', 'kpu', 'anis', 'fix', 'curang']",-1,negatif,-1,1,positif
semuanya ambisi apalagi anis setelah dipecat jadi mentrinya jkowi dtng ke prbwo meminta buat diusung jadi gubernurmunafik katanya enggak akan jadi capres kalo masih ada prabowo enggak tau terima kasih,"['ambisi', 'anis', 'pecat', 'tri', 'jkowi', 'dtng', 'prbwo', 'usung', 'gubernurmunafik', 'capres', 'kalo', 'prabowo', 'tau', 'terima', 'kasih']",-2,negatif,-1,-1,negatif
sebelumnya 2 kali mendukung prabowo tapi kalah terus akhirnya mantapkan ke anis sekarang,"['2', 'kali', 'dukung', 'prabowo', 'kalah', 'mantap', 'anis']",5,positif,1,1,positif
saya ragu dengan anis negara ini bisa bubar jika anis jadi presiden,"['ragu', 'anis', 'negara', 'bubar', 'anis', 'presiden']",0,netral,0,1,positif
bayangkan kalo sih manis jadi presiden apapun masalahnya solusinya dikasih syair2 amp rangkaian katakata indah,"['bayang', 'kalo', 'sih', 'manis', 'presiden', 'apa', 'solusi', 'kasih', 'syair2', 'amp', 'rangkai', 'katakata', 'indah']",6,positif,1,1,positif
pak anis menang mutlak sih di episode ini,"['anis', 'menang', 'mutlak', 'sih', 'episode']",-4,negatif,-1,-1,negatif
pak anis,['anis'],0,netral,0,1,positif
pak anis mantap,"['anis', 'mantap']",5,positif,1,1,positif
rakyat sudah tau mana calo presiden yang bermutu brbranis baswedan harus naik karena visi dan misiya jelas,"['rakyat', 'tau', 'calo', 'presiden', 'mutu', 'brbranis', 'baswedan', 'visi', 'misiya']",3,positif,1,1,positif
anis presiden 2024 kobulkan ya allah,"['anis', 'presiden', '2024', 'kobulkan', 'ya', 'allah']",12,positif,1,1,positif
pak anis sukses terus pak kami mendukung mu pak,"['anis', 'sukses', 'dukung', 'mu']",7,positif,1,1,positif
pak anis nganjuk mendukung tetap no1 amin,"['anis', 'nganjuk', 'dukung', 'no1', 'amin']",4,positif,1,1,positif
wkwkw kbnyakan akun bot yang komen dukung anis dibayar brpa,"['wkwkw', 'kbnyakan', 'akun', 'bot', 'komen', 'dukung', 'anis', 'bayar', 'brpa']",0,netral,0,0,netral
tetap dukung pak anis baswedan,"['dukung', 'anis', 'baswedan']",4,positif,1,1,positif
saya salud dengan capres no urut 1 anis yes dan top ten mohon pihak tim komisioner kpu pusattetap komitmen dengan tugas serta fungsi nya anis is the besth saya tetap komitmen dengan anda ini baru pantas pimpin negara yang santai tetapi pasti di basmi dan arif cerdas dan bijak berantas korupsi dan hukum adat beretika,"['salud', 'capres', 'no', 'urut', '1', 'anis', 'yes', 'top', 'ten', 'mohon', 'tim', 'komisioner', 'kpu', 'pusattetap', 'komitmen', 'tugas', 'fungsi', 'nya', 'anis', 'is', 'the', 'besth', 'komitmen', 'pimpin', 'negara', 'santai', 'basmi', 'arif', 'cerdas', 'bijak', 'berantas', 'korupsi', 'hukum', 'adat', 'etika']",-1,negatif,-1,1,positif
amin yallah anis dan muhaimin,"['amin', 'yallah', 'anis', 'muhaimin']",0,netral,0,1,positif
insya allah anis rasyid baswedan,"['insya', 'allah', 'anis', 'rasyid', 'baswedan']",5,positif,1,1,positif
kemampuan berkata2 tidak menjamin kinerjanya kedepanbrjgn tertipu dengan kata manis karena berbuat janji melalui mulut itu sngat mudah,"['mampu', 'berkata2', 'jamin', 'kerja', 'kedepanbrjgn', 'tipu', 'manis', 'buat', 'janji', 'mulut', 'sngat', 'mudah']",1,positif,1,1,positif
ah banyak mengomong anis,"['ah', 'omong', 'anis']",-4,negatif,-1,-1,negatif
menurut sayahanya anis yang maju dipilpres secara murni,"['sayahanya', 'anis', 'maju', 'dipilpres', 'murni']",0,netral,0,0,netral
coba anis pasangan sama mahfud md gue senang bgt sayang berlawanan,"['coba', 'anis', 'pasang', 'mahfud', 'md', 'gue', 'senang', 'bgt', 'sayang', 'lawan']",3,positif,1,1,positif
seru banget pas lihat debat pak anis dan ganjar saling adu kecerdasan sayang sekali dulu pak prabowo juga cerdas tapi sekarang kok jadi lucu,"['seru', 'banget', 'pas', 'lihat', 'debat', 'anis', 'ganjar', 'adu', 'cerdas', 'sayang', 'prabowo', 'cerdas', 'lucu']",10,positif,1,1,positif
saya orang kalimantan mengikuti pak anis saat masih jadi gubernur jakarta,"['orang', 'kalimantan', 'ikut', 'anis', 'gubernur', 'jakarta']",-3,negatif,-1,-1,negatif
jujur jika dilihat dari debat sesi ini pak anis adalah orang yang paling baik dalam semua segi gagasannya kedua ganjar dan terakhir prabowo maaf memang prabowo terlalu lawak untuk indonesia yang sudah lawak,"['jujur', 'debat', 'sesi', 'anis', 'orang', 'segi', 'gagas', 'ganjar', 'prabowo', 'maaf', 'prabowo', 'lawak', 'indonesia', 'lawak']",3,positif,1,1,positif
biar masa lalu jejak digital yang bicara kalau hanya bersilat lidah itu tak bertulang mau dibuat bicara manis ya bisa lebih manis dari gula,"['biar', 'jejak', 'digital', 'bicara', 'silat', 'lidah', 'tulang', 'bicara', 'manis', 'ya', 'manis', 'gula']",6,positif,1,1,positif
maaf pak prabowo kalo pak prabowo masih begini juga sudah dari 201br bararti itu sudah mendarah daging dan menjadi tabiatnya saya pilih pak anis saja lahdi tambah pula wakilnya pak prabowo seperti itu model nya brinsyaallah pak anies pilihan terbaik,"['maaf', 'prabowo', 'kalo', 'prabowo', '201br', 'bararti', 'darah', 'daging', 'tabiat', 'pilih', 'anis', 'lahdi', 'wakil', 'prabowo', 'model', 'nya', 'brinsyaallah', 'anies', 'pilih', 'baik']",3,positif,1,1,positif
pak anis presiden,"['anis', 'presiden']",3,positif,1,1,positif
salut sama apa anis bicara santai berwibawabrpokonya apa anis,"['salut', 'anis', 'bicara', 'santai', 'berwibawabrpokonya', 'anis']",2,positif,1,1,positif
semoga pak anis presiden 2024,"['moga', 'anis', 'presiden', '2024']",4,positif,1,1,positif
pemilu sebelumnya saya pilih jokowi 2 periode namun pemilu kali ini semua paslon serba nanggungbranis tertara sekali entar kalo menang ikn dan pembangunan2 pak jokowi bakal terbengkalai padahal sudah makan anggaran gedebrprabowo walaupun disitu ada gibran tapi prabowo kinerjanya masih kureng untuk jadi sekelas presidenbrganjar enggak dulu deh dia pdip soalnya,"['milu', 'pilih', 'jokowi', '2', 'periode', 'milu', 'kali', 'paslon', 'serba', 'nanggungbranis', 'tara', 'entar', 'kalo', 'menang', 'ikn', 'pembangunan2', 'jokowi', 'bengkalai', 'makan', 'anggar', 'gedebrprabowo', 'situ', 'gibran', 'prabowo', 'kerja', 'reng', 'kelas', 'presidenbrganjar', 'deh', 'pdip']",1,positif,1,-1,negatif
terharu mendengar bapak anis baswedan berbicara sukses dan bahagia selalu bpk anis,"['haru', 'dengar', 'anis', 'baswedan', 'bicara', 'sukses', 'bahagia', 'bpk', 'anis']",8,positif,1,1,positif
banyak kali buzzer anis baswedan anjir,"['kali', 'buzzer', 'anis', 'baswedan', 'anjir']",-2,negatif,-1,-1,negatif
pak anis we love you,"['anis', 'we', 'love', 'you']",2,positif,1,1,positif
insah allah pak anis amin ya rabb,"['insah', 'allah', 'anis', 'amin', 'ya', 'rabb']",9,positif,1,1,positif
bismillah pak anis,"['bismillah', 'anis']",4,positif,1,1,positif
ini yang komen kebanyakan pendukung anis quotangin enggak punya ktpquot,"['komen', 'banyak', 'dukung', 'anis', 'quotangin', 'ktpquot']",4,positif,1,1,positif
ya dong wong anis cerdas dan tepat waktu,"['ya', 'anis', 'cerdas']",4,positif,1,1,positif
anis juga seorang pendongeng yang andal,"['anis', 'dongeng', 'andal']",6,positif,1,1,positif
sama saja anis dan ganjar prabowo tempramental,"['anis', 'ganjar', 'prabowo', 'tempramental']",2,positif,1,1,positif
anis malah banyak blunder padahal dia dulu di calonin prabowo gubenur kok bicara etik wkwkw,"['anis', 'blunder', 'calonin', 'prabowo', 'gubenur', 'bicara', 'etik', 'wkwkw']",0,netral,0,0,netral
pak anis keren tenang dan bersahaja,"['anis', 'keren', 'tenang', 'sahaja']",6,positif,1,1,positif
enggak sabar mau punya presiden seperti pak anis,"['sabar', 'presiden', 'anis']",8,positif,1,1,positif
insyaallah menang jadi president 2024amiinsulit sekali muncul pemimpin yang cerdaspintarbaik sisi agama bisa jadi imam dan memimpin do3ailmu pengetahuan dan kepemimpinanhukum kekuasaan dan politik sudah dikuasai oleh pak aniscara dan konsep bernegara untuk pak anis sangat ok,"['insyaallah', 'menang', 'president', '2024amiinsulit', 'muncul', 'pimpin', 'cerdaspintarbaik', 'sisi', 'agama', 'imam', 'pimpin', 'do3ailmu', 'tahu', 'kepemimpinanhukum', 'kuasa', 'politik', 'asai', 'aniscara', 'konsep', 'negara', 'anis', 'ok']",0,netral,0,1,positif
anis cocok prawakan presiden gagahbrsemarang hadir,"['anis', 'cocok', 'prawakan', 'presiden', 'gagahbrsemarang', 'hadir']",3,positif,1,1,positif
pak anis sangatquot berkualitas untuk menjadi presiden semangat pal pasti menang,"['anis', 'sangatquot', 'kualitas', 'presiden', 'semangat', 'pal', 'menang']",9,positif,1,1,positif
busser nya anis lumayan banyak ya,"['busser', 'nya', 'anis', 'lumayan', 'ya']",3,positif,1,1,positif
saya mahasiswa melihat pemimpin dari sosok pribadi dan gagasannya enggak peduli dari partai mana saya yakin jika pemimpin yang terpilih nanti punya kualitas dan integritas yang bagus maka kepentingan partaipun tidak akan mendominasi keputusan presiden kedepannya pada debat pertama ini saya urutkan pilihan saya terhadapbr1 anisbr2 ganjarbr3 prabowobrpilihan saya masih bisa berubah tergantung debat berikutnya dan yang pasti yang punya gagasan jelas saya kira orang yang berpikir kritis kedepan pasti enggak akan terpengaruh oleh buzzer yang saling membela pilihannya dan mencela lawannya saya hanya ingin indonesia lebih baik salam pemilu damai,"['mahasiswa', 'pimpin', 'sosok', 'pribadi', 'gagas', 'peduli', 'partai', 'pimpin', 'pilih', 'kualitas', 'integritas', 'bagus', 'penting', 'partai', 'dominasi', 'putus', 'presiden', 'depan', 'debat', 'urut', 'pilih', 'terhadapbr1', 'anisbr2', 'ganjarbr3', 'prabowobrpilihan', 'ubah', 'gantung', 'debat', 'gagas', 'orang', 'pikir', 'kritis', 'depan', 'pengaruh', 'buzzer', 'bela', 'pilih', 'cela', 'lawan', 'indonesia', 'salam', 'milu', 'damai']",-7,negatif,-1,-1,negatif
komen rataquotanis tapi enggak tau kalo hasil pemilu nanti tau lah,"['komen', 'rataquotanis', 'tau', 'kalo', 'hasil', 'milu', 'tau']",-5,negatif,-1,-1,negatif
kalau sudah makan pedas jangan lupa minum manisudah capek hidup pesimisperubahan pilih pak anies,"['makan', 'pedas', 'lupa', 'minum', 'manisudah', 'capek', 'hidup', 'pesimisperubahan', 'pilih', 'anies']",-13,negatif,-1,-1,negatif
prabowo kelihatan sekali kebingungan di debat capresdia menutupi kebingunganya dengan berjogedprabowo mati kutu sampai emosiyang terbaik tetap pak anis yang kalem dan tenang,"['prabowo', 'bingung', 'debat', 'capresdia', 'tutup', 'kebingunganya', 'berjogedprabowo', 'mati', 'kutu', 'emosiyang', 'baik', 'anis', 'kalem', 'tenang']",8,positif,1,1,positif
saya pilih prabowo pak anis mimpin jakarta saja kurang maksimal,"['pilih', 'prabowo', 'anis', 'mimpin', 'jakarta', 'maksimal']",1,positif,1,1,positif
banyak aturan yang di tekuk sesuai dengan kepentingan yang memegang kekuasaanbrbrbrbetul banget itu pak aniss sindiran tajam buat penguasa yang nanti akan di hisab allah,"['atur', 'tekuk', 'sesuai', 'penting', 'pegang', 'kekuasaanbrbrbrbetul', 'banget', 'aniss', 'sindir', 'tajam', 'kuasa', 'hisab', 'allah']",8,positif,1,1,positif
dari keseluruhan sesi yang jawaban dan pertanyaan nya tepatbermutu dan berilmu adalah pak anis baswedan brinsyallah pak anis jadi presiden indonesia,"['sesi', 'nya', 'tepatbermutu', 'beril', 'anis', 'baswedan', 'brinsyallah', 'anis', 'presiden', 'indonesia']",3,positif,1,1,positif
masalah debat masalah mengomong masalah teori anis jagonya tapi kerjanya nol,"['debat', 'omong', 'teori', 'anis', 'jago', 'kerja', 'nol']",1,positif,1,1,positif
gemas kalau mengomong sok di manisquotin wkwkw,"['gemas', 'omong', 'sok', 'manisquotin', 'wkwkw']",-5,negatif,-1,-1,negatif
coba dong kalo kamu jadi gubernur jakarta bisa enggak mengalahkan pak anis heheh,"['coba', 'kalo', 'gubernur', 'jakarta', 'kalah', 'anis', 'heheh']",-3,negatif,-1,-1,negatif
bismillah dukung pak anis rasyid baswedan dan muhaimin iskandar sebagai presiden ri 2024 kabulkan doadoa kami ya allah kami dan negara butuh pemimpin seperti mereka amin,"['bismillah', 'dukung', 'anis', 'rasyid', 'baswedan', 'muhaimin', 'iskandar', 'presiden', 'ri', '2024', 'kabul', 'doadoa', 'ya', 'allah', 'negara', 'butuh', 'pimpin', 'amin']",15,positif,1,1,positif
public speakingnya pak anis bagus sekali dan tenang terlihat dari salah satu teknik publik speaking dengan gerakan tangannya siapapun presiden nantiknya semoga indonesia lebih baik dari tahun sebelumnya,"['public', 'speakingnya', 'anis', 'bagus', 'tenang', 'salah', 'teknik', 'publik', 'speaking', 'gera', 'tangan', 'presiden', 'nantiknya', 'moga', 'indonesia']",-1,negatif,-1,1,positif
pandai berdebatpandai merangkai katamanis bicara dan janjipercuma rakyat sudah pada pinter mana yang bisa kerjamana yang tidak yang dibutuhkan negeri ini adalah pandai bekerja nyata kalo cuma pandai merangkai kata cukup tukang obat dijalan an ajdan cukup 1 profinsi yang tertipu,"['pandai', 'berdebatpandai', 'rangkai', 'katamanis', 'bicara', 'janjipercuma', 'rakyat', 'pinter', 'kerjamana', 'butuh', 'negeri', 'pandai', 'nyata', 'kalo', 'pandai', 'rangkai', 'tukang', 'obat', 'jalan', 'an', 'ajdan', '1', 'profinsi', 'tipu']",-12,negatif,-1,-1,negatif
best paslon no 2 yang lebih dewasa dalam gagasan real berkelanjutan kalo janji manis iniitublablaitu baru rencana dan tau sendiri kalo baru rencana bny bicara teori jauh dari kenyataan apalagi terkenal dengan pandai merangkai katakata manis teori retorikawaduhhmau dibawa kemana negeri ini nantinya respect buat prabowo mengedukasi bukan menyerang lawan yang pasti prabowo yang punya partai jadi kecil kemungkinan disetir oleh partainya beda dengan pesuruh partai apalagi secar real dibiayai oleh partainyamelahirkan balas budi cari keuntungan setdknya memulang kan biaya bibirnya kerja buat rakyatnya kapan,"['best', 'paslon', 'no', '2', 'dewasa', 'gagas', 'real', 'lanjut', 'kalo', 'janji', 'manis', 'iniitublablaitu', 'rencana', 'tau', 'kalo', 'rencana', 'bny', 'bicara', 'teori', 'nyata', 'kenal', 'pandai', 'rangkai', 'katakata', 'manis', 'teori', 'retorikawaduhhmau', 'bawa', 'mana', 'negeri', 'respect', 'prabowo', 'edukasi', 'serang', 'lawan', 'prabowo', 'partai', 'setir', 'partai', 'beda', 'suruh', 'partai', 'secar', 'real', 'biaya', 'partainyamelahirkan', 'balas', 'budi', 'cari', 'untung', 'setdknya', 'pulang', 'biaya', 'bibir', 'kerja', 'rakyat']",-13,negatif,-1,-1,negatif
insyaallah pak anis tiada tandingannya kecuali kecurangan saja,"['insyaallah', 'anis', 'tiada', 'tanding', 'kecuali', 'curang']",-5,negatif,-1,-1,negatif
